Chemical Information										Mixture Information				exact mass		theoretical m/z			measured m/z			Ion mobilty			Chromatography				NAPS RT Pre																					NAPS RT Post																			
ChEBI name	ChEBI	KEGG	HMDB	LipidMaps	SMILES	InChI	InChIKey	formula		Chemical Exposome	Mixture	Mix Name		M		[M+H]+	[M+Na]+		[M+H]+	[M+Na]+		CCS [M+H]+	CCS [M+Na]+		RT (apex)	RT (minim)	RT (maxim)		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
Isophytol					CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O	InChI=1S/C20H40O/c1-7-20(6,21)16-10-15-19(5)14-9-13-18(4)12-8-11-17(2)3/h7,17-19,21H,1,8-16H2,2-6H3	KEVYVLWNCKMXJX-UHFFFAOYSA-N	C20H40O		Plant Exposome	15.5	Plant Exposome_15.5		296.3079159		297.3151919	319.2971359												0.450	0.470	0.560	0.839	2.006	3.382	4.110	4.679	5.178	5.636	6.065	6.474	6.873	7.272	7.661	8.040	8.419	8.798	9.138	9.467		0.452	0.472	0.552	0.851	2.008	3.384	4.103	4.681	5.180	5.639	6.057	6.476	6.875	7.274	7.663	8.042	8.431	8.791	9.140	9.469
Evodiamine	CHEBI:4948				CN1[C@H]2N(CCc3c2[nH]c2ccccc32)C(=O)c2ccccc12	InChI=1S/C19H17N3O/c1-21-16-9-5-3-7-14(16)19(23)22-11-10-13-12-6-2-4-8-15(12)20-17(13)18(21)22/h2-9,18,20H,10-11H2,1H3/t18-/m0/s1	TXDUTHBFYKGSAH-SFHVURJKSA-N	C19H17N3O		Plant Exposome	15.5	Plant Exposome_15.5		303.1371622		304.1444382	326.1263822												0.450	0.470	0.560	0.839	2.006	3.382	4.110	4.679	5.178	5.636	6.065	6.474	6.873	7.272	7.661	8.040	8.419	8.798	9.138	9.467		0.452	0.472	0.552	0.851	2.008	3.384	4.103	4.681	5.180	5.639	6.057	6.476	6.875	7.274	7.663	8.042	8.431	8.791	9.140	9.469
henicosanoic acid	CHEBI:39248		HMDB0002345	LMFA01010021	CCCCCCCCCCCCCCCCCCCCC(O)=O	InChI=1S/C21H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23/h2-20H2,1H3,(H,22,23)	CKDDRHZIAZRDBW-UHFFFAOYSA-N	C21H42O2		Plant Exposome	15.5	Plant Exposome_15.5		326.3184806		327.3257566	349.3077006												0.450	0.470	0.560	0.839	2.006	3.382	4.110	4.679	5.178	5.636	6.065	6.474	6.873	7.272	7.661	8.040	8.419	8.798	9.138	9.467		0.452	0.472	0.552	0.851	2.008	3.384	4.103	4.681	5.180	5.639	6.057	6.476	6.875	7.274	7.663	8.042	8.431	8.791	9.140	9.469
berberine	CHEBI:16118	C00757	HMDB0003409		COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC	InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1	YBHILYKTIRIUTE-UHFFFAOYSA-N	C20H18NO4		Plant Exposome	15.5	Plant Exposome_15.5		336.1235831		337.1308591	359.1128031												0.450	0.470	0.560	0.839	2.006	3.382	4.110	4.679	5.178	5.636	6.065	6.474	6.873	7.272	7.661	8.040	8.419	8.798	9.138	9.467		0.452	0.472	0.552	0.851	2.008	3.384	4.103	4.681	5.180	5.639	6.057	6.476	6.875	7.274	7.663	8.042	8.431	8.791	9.140	9.469
tripalmitin	CHEBI:77393		HMDB0005356	LMGL03010001	[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	InChI=1S/C51H98O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-49(52)55-46-48(57-51(54)45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)47-56-50(53)44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h48H,4-47H2,1-3H3	PVNIQBQSYATKKL-UHFFFAOYSA-N	C51H98O6		Plant Exposome	15.5	Plant Exposome_15.5		806.7363409		807.7436169	829.7255609												0.450	0.470	0.560	0.839	2.006	3.382	4.110	4.679	5.178	5.636	6.065	6.474	6.873	7.272	7.661	8.040	8.419	8.798	9.138	9.467		0.452	0.472	0.552	0.851	2.008	3.384	4.103	4.681	5.180	5.639	6.057	6.476	6.875	7.274	7.663	8.042	8.431	8.791	9.140	9.469
D-threonine	CHEBI:16398	C00820	HMDB0013775		C[C@H](O)[C@@H](N)C(O)=O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m0/s1	AYFVYJQAPQTCCC-STHAYSLISA-N	C4H9NO3		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		119.0582431		120.0655191	142.0474631												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
L-threonic acid	CHEBI:15908	C01620	HMDB0000943		OC[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1	JPIJQSOTBSSVTP-STHAYSLISA-N	C4H8O5		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		136.0371734		137.0444494	159.0263934												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
D-glutamic acid	CHEBI:15966	C00217	HMDB0003339		N[C@H](CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m1/s1	WHUUTDBJXJRKMK-GSVOUGTGSA-N	C5H9NO4		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		147.0531578		148.0604338	170.0423778												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
D-histidine	CHEBI:27947	C06419			N[C@H](Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m1/s1	HNDVDQJCIGZPNO-RXMQYKEDSA-N	C6H9N3O2		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		155.0694765		156.0767525	178.0586965												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
L-m-tyrosine	CHEBI:44303		HMDB0059720		N[C@@H](CC1=CC=CC(O)=C1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	JZKXXXDKRQWDET-QMMMGPOBSA-N	C9H11NO3		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		181.0738932		182.0811692	204.0631132												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
adenosine	CHEBI:16335	C00212	HMDB0000050		NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	OIRDTQYFTABQOQ-KQYNXXCUSA-N	C10H13N5O4		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		267.0967539		268.1040299	290.0859739												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
3',5'-cyclic AMP	CHEBI:17489	C00575	HMDB0000058		[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N	InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	IVOMOUWHDPKRLL-KQYNXXCUSA-N	C10H12N5O6P		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		329.0525197		330.0597957	352.0417397												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
adenosine 5'-monophosphate	CHEBI:16027	C00020	HMDB0000045		NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	UDMBCSSLTHHNCD-KQYNXXCUSA-N	C10H14N5O7P		Eukaryotic Exposome	16.1	Eukaryotic Exposome_16.1		347.0630844		348.0703604	370.0523044												0.443	0.473	0.553	0.842	2.009	3.386	4.104	4.682	5.181	5.630	6.059	6.468	6.877	7.266	7.665	8.044	8.423	8.792	9.131	9.470		0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461
aminomalonic acid	CHEBI:17475	C00872	HMDB0001147		NC(C(O)=O)C(O)=O	InChI=1S/C3H5NO4/c4-1(2(5)6)3(7)8/h1H,4H2,(H,5,6)(H,7,8)	JINBYESILADKFW-UHFFFAOYSA-N	C3H5NO4		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		119.0218576		120.0291336	142.0110776												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
D-glutamine	CHEBI:17061	C00819	HMDB0003423		N[C@H](CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m1/s1	ZDXPYRJPNDTMRX-GSVOUGTGSA-N	C5H10N2O3		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		146.0691422		147.0764182	169.0583622												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
L-2-aminoadipic acid	CHEBI:37023	C00956	HMDB0000510		N[C@@H](CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m0/s1	OYIFNHCXNCRBQI-BYPYZUCNSA-N	C6H11NO4		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		161.0688078		162.0760838	184.0580278												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
keto-D-fructose 6-phosphate	CHEBI:15946	C00085	HMDB0000124		OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/t4-,5-,6-/m1/s1	GSXOAOHZAIYLCY-HSUXUTPPSA-N	C6H13O9P		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		260.0297186		261.0369946	283.0189386												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
keto-D-fructose 1,6-bisphosphate	CHEBI:16905	C00354	HMDB0001058		O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)C(=O)COP(O)(O)=O	InChI=1S/C6H14O12P2/c7-3(1-17-19(11,12)13)5(9)6(10)4(8)2-18-20(14,15)16/h3,5-7,9-10H,1-2H2,(H2,11,12,13)(H2,14,15,16)/t3-,5-,6-/m1/s1	XPYBSIWDXQFNMH-UYFOZJQFSA-N	C6H14O12P2		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		339.9960491		341.0033251	362.9852691												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
alpha,alpha-trehalose	CHEBI:16551	C01083	HMDB0000975		OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	HDTRYLNUVZCQOY-LIZSDCNHSA-N	C12H22O11		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		342.1162115		343.1234875	365.1054315												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
lactobionic acid	CHEBI:55481				OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C12H22O12/c13-1-3(15)10(7(18)8(19)11(21)22)24-12-9(20)6(17)5(16)4(2-14)23-12/h3-10,12-20H,1-2H2,(H,21,22)/t3-,4-,5+,6+,7-,8-,9-,10-,12+/m1/s1	JYTUSYBCFIZPBE-AMTLMPIISA-N	C12H22O12		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		358.1111261		359.1184021	381.1003461												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
ATP	CHEBI:15422	C00002	HMDB0000538		NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	ZKHQWZAMYRWXGA-KQYNXXCUSA-N	C10H16N5O13P3		Eukaryotic Exposome	16.2	Eukaryotic Exposome_16.2		506.9957455		508.0030215	529.9849655												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
acrylic acid	CHEBI:18308	C00511	HMDB0031647	LMFA01030193	OC(=O)C=C	InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)	NIXOWILDQLNWCW-UHFFFAOYSA-N	C3H4O2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		72.02112937		73.02840537	95.01034937												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
3-aminoisobutyric acid	CHEBI:27389	C05145	HMDB0003911	LMFA01100054	CC(CN)C(O)=O	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	QCHPKSFMDHPSNR-UHFFFAOYSA-N	C4H9NO2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		103.0633285		104.0706045	126.0525485												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
5,6-dihydrouracil	CHEBI:15901	C00429	HMDB0000076		O=C1CCNC(=O)N1	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)	OIVLITBTBDPEFK-UHFFFAOYSA-N	C4H6N2O2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		114.0429274		115.0502034	137.0321474												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
maleamic acid	CHEBI:29045	C01596			NC(=O)\C=C/C(O)=O	InChI=1S/C4H5NO3/c5-3(6)1-2-4(7)8/h1-2H,(H2,5,6)(H,7,8)/b2-1-	FSQQTNAZHBEJLS-UPHRSURJSA-N	C4H5NO3		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		115.026943		116.034219	138.016163												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
D-2-aminopentanoic acid	CHEBI:28804	C01799	HMDB0013716		CCC[C@@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m1/s1	SNDPXSYFESPGGJ-SCSAIBSYSA-N	C5H11NO2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		117.0789786		118.0862546	140.0681986												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
ethyl 2-methyl-3-oxobutanoate					CCOC(=O)C(C)C(=O)C	InChI=1S/C7H12O3/c1-4-10-7(9)5(2)6(3)8/h5H,4H2,1-3H3	FNENWZWNOPCZGK-UHFFFAOYSA-N	C7H12O3		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		144.0786442		145.0859202	167.0678642												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
D-methionine	CHEBI:16867	C00855			CSCC[C@@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m1/s1	FFEARJCKVFRZRR-SCSAIBSYSA-N	C5H11NO2S		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		149.0510496		150.0583256	172.0402696												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
L-rhamnopyranose	CHEBI:62346	C00507	HMDB0000849		C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3-,4+,5+,6?/m0/s1	SHZGCJCMOBCMKK-JFNONXLTSA-N	C6H12O5		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		164.0684735		165.0757495	187.0576935												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
L-Histidine methyl ester	CHEBI:169996				O(C(=O)[C@@H](N)CC=1NC=NC1)C	InChI=1S/C7H11N3O2/c1-12-7(11)6(8)2-5-3-9-4-10-5/h3-4,6H,2,8H2,1H3,(H,9,10)/t6-/m0/s1	BXRMEWOQUXOLDH-LURJTMIESA-N	C7H11N3O2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		169.0851266		170.0924026	192.0743466												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
quinoline-4-carboxylic acid	CHEBI:18311	C06414			C12=C(N=CC=C1C(O)=O)C=CC=C2	InChI=1S/C10H7NO2/c12-10(13)8-5-6-11-9-4-2-1-3-7(8)9/h1-6H,(H,12,13)	VQMSRUREDGBWKT-UHFFFAOYSA-N	C10H7NO2		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		173.0476785		174.0549545	196.0368985												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
N-alpha-Acetyl-L-ornithine					CC(=O)NC(CCN)CC(=O)O	InChI=1S/C7H14N2O3/c1-5(10)9-6(2-3-8)4-7(11)12/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)	RGGSNNCJGLQIPG-UHFFFAOYSA-N	C7H14N2O3		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		174.1004423		175.1077183	197.0896623												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
alpha-L-sorbopyranose	CHEBI:10295	C08356	HMDB0001266		OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4+,5-,6+/m0/s1	LKDRXBCSQODPBY-BGPJRJDNSA-N	C6H12O6		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		180.0633881		181.0706641	203.0526081												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
D-tyrosine	CHEBI:28479	C06420			N[C@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m1/s1	OUYCCCASQSFEME-MRVPVSSYSA-N	C9H11NO3		Eukaryotic Exposome	17.1	Eukaryotic Exposome_17.1		181.0738932		182.0811692	204.0631132												0.454	0.474	0.554	0.843	2.010	3.377	4.105	4.683	5.182	5.641	6.060	6.479	6.878	7.267	7.666	8.045	8.424	8.793	9.142	9.461		0.448	0.468	0.557	0.847	2.004	3.380	4.108	4.677	5.176	5.634	6.063	6.472	6.871	7.270	7.659	8.048	8.427	8.786	9.135	9.465
